Accession..,Family,Genus,Species,variety.hybrid,scientific_name,Native.country,Native.Region,Origin,Date.brought.in,number,form,plant.source,latest.update,Synonym
B88.280,Dryopteridaceae,Diplazium,lonchophyllum,NA,Diplazium lonchophyllum ,Multiple Countries,Mixed regions,"southern US (Louisiana), Mexico, C Amer., N S Amer",21-Jun-88,0,NA,"Berkeley, UC Botanic Garden",2/24/2023,NA
B2019.269,Phrymaceae,Diplacus,NA,NA,Diplacus  ,NA,NA,hybrid (horticultural) origin,24-Jun-19,10,NA,California Flora Nursery,2/24/2023,apricot hybrid
B2007.064,Ebenaceae,Diospyros,dichrophylla,NA,Diospyros dichrophylla ,South Africa,South African,South Africa (Cape Province),1-Mar-07,0,NA,Ken Mohler,2/24/2023,NA
B2008.117,Ebenaceae,Diospyros,sandwicensis,NA,Diospyros sandwicensis ,Hawaian Islands,Hawaii,endemic of Hawaii,9-May-08,2,seedling(s),Dean Kelch,2/24/2023,NA
B2012.003,Ebenaceae,Diospyros,cauliflora,NA,Diospyros cauliflora ,Multiple Countries,Asian,tropical Asia,6-Mar-12,0,plant(s),"Bogor Botanical Garden, Indonesia",2/24/2023,NA
B2019.080,Ebenaceae,Diospyros,lycioides,subsp. nitens,Diospyros lycioides subsp. nitens,South Africa,South African,South Africa,29-Jan-19,0,seed(s),Silverhill Seeds,2/24/2023,NA
B2000.017,Dioscoreaceae,Dioscorea,pentaphylla,NA,Dioscorea pentaphylla ,Multiple Countries,Asian,Asia tropical,7-Mar-00,0,NA,Robert Hackman,2/24/2023,#NAME?
B2001.036,Dioscoreaceae,Dioscorea,villosa,NA,Dioscorea villosa ,United States,North American,Eastern North America,28-Feb-01,0,NA,Anthony Lord,2/24/2023,NA
B2001.213,Dioscoreaceae,Dioscorea,sp,NA,Dioscorea sp ,NA,American,NA,NA,0,NA,CSSA seed depot,2/24/2023,NA
B2004.019,Dioscoreaceae,Dioscorea,hemicrypta,NA,Dioscorea hemicrypta ,South Africa,South African,South Africa (Western Cape),17-Mar-04,0,NA,Sam/Dorothy Williams,2/24/2023,NA
B2004.020,Dioscoreaceae,Dioscorea,hemicrypta,NA,Dioscorea hemicrypta ,South Africa,South African,South Africa (Western Cape),17-Mar-04,0,NA,Sam/Dorothy Williams,2/24/2023,male
B2013.001,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),21-May-13,4,plant(s),Rare Plants,2/24/2023,NA
B2013.173,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),30-Aug-13,16,plant(s),Rare Succulents,2/24/2023,NA
B2016.323,Dioscoreaceae,Dioscorea,mexicana,NA,Dioscorea mexicana ,Multiple Countries,American,Mexico to Panama,22-Nov-16,0,plant(s),Kyle Shankle,2/24/2023,NA
B2017.024,Dioscoreaceae,Dioscorea,hemicrypta,NA,Dioscorea hemicrypta ,South Africa,South African,South Africa (Western Cape),5-Jan-17,8,plant(s),Rare Succulents,2/24/2023,NA
B2019.071,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),29-Jan-19,0,seed(s),Silverhill Seeds,2/24/2023,NA
B2021.010,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),30-Apr-21,1,plant(s),Happy Growing!,2/24/2023,NA
B2021.015,Dioscoreaceae,Dioscorea,sylvatica,NA,Dioscorea sylvatica ,Multiple Countries,African,eastern and southern Africa,30-Apr-21,1,seedling(s),Happy Growing!,2/24/2023,NA
B2021.084,Dioscoreaceae,Dioscorea,discolor,NA,Dioscorea discolor ,Multiple Countries,South American,"Ecuador, Brazil",18-Oct-21,2,NA,Sacramento State University,2/24/2023,NA
B2021.110,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),19-Jul-21,0,NA,Silverhill Seeds,2/24/2023,NA
B2021.111,Dioscoreaceae,Dioscorea,hemicrypta,NA,Dioscorea hemicrypta ,South Africa,South African,South Africa (Western Cape),19-Jul-21,0,NA,Silverhill Seeds,2/24/2023,NA
B78.106,Dioscoreaceae,Dioscorea,sylvatica,NA,Dioscorea sylvatica ,South Africa,South African,South Africa,8-Aug-78,0,seed(s),New Mexico Cactus Research,2/24/2023,NA
B78.107,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),8-Aug-78,0,NA,New Mexico Cactus Research,2/24/2023,#NAME?
B78.176,Dioscoreaceae,Dioscorea,sp,NA,Dioscorea sp ,NA,NA,NA,31-Jan-02,0,NA,NA,2/24/2023,NA
B83.077,Dioscoreaceae,Dioscorea,sp,NA,Dioscorea sp ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B91.173,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),25-Mar-91,10,seed(s),CSSA seed depot,2/24/2023,male
B92.978,Dioscoreaceae,Dioscorea,discolor,NA,Dioscorea discolor ,Multiple Countries,South American,tropical South America,NA,0,NA,NA,2/24/2023,NA
B93.330,Dioscoreaceae,Dioscorea,discolor,NA,Dioscorea discolor ,Multiple Countries,South American,tropical South America,NA,0,NA,NA,2/24/2023,NA
B94.021,Dioscoreaceae,Dioscorea,alata,NA,Dioscorea alata ,Multiple Countries,Multiple Regions,India to Malay Peninsula,9-Jan-94,0,NA,John Szabo,2/24/2023,NA
B96.348,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),17-Oct-96,0,NA,Anthony Lord,2/24/2023,#NAME?
B96.393,Dioscoreaceae,Dioscorea,japonica,NA,Dioscorea japonica ,Japan,Asian,Japan,1-Oct-96,0,NA,Anthony Lord,2/24/2023,NA
B96.396,Dioscoreaceae,Dioscorea,batatas,NA,Dioscorea batatas ,Multiple Countries,Asian,eastern Asia,1-Oct-96,0,NA,Anthony Lord,2/24/2023,NA
B98.314,Dioscoreaceae,Dioscorea,alata,NA,Dioscorea alata ,Multiple Countries,Multiple Regions,India to Malay Peninsula,23-Oct-98,0,NA,Anthony Lord,2/24/2023,NA
BAB.384,Dioscoreaceae,Dioscorea,elephantipes,NA,Dioscorea elephantipes ,South Africa,South African,South Africa (Eastern Cape),NA,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,#NAME?
BAB.567,Dioscoreaceae,Dioscorea,bulbifera,NA,Dioscorea bulbifera ,Multiple Countries,Mixed regions,tropical Africa and Asia,NA,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,NA
B2000.254,Cycadaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,NA,1,plant(s),Howard and Joan Gunn,2/24/2023,NA
B2001.001,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,9-Jan-00,0,NA,J.L. Hudson,2/24/2023,NA
B2001.210,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: San Luis Potosi,22-Oct-01,0,NA,Cycad Seed Bank/ Lon McDowell,2/24/2023,Rio Verde form
B2002.140,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,15-Feb-03,0,NA,Cycad Seed Bank/ Lon McDowell,2/24/2023,NA
B2006.003,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: Veracruz,25-Jan-06,0,NA,Bijan Dehgan,2/24/2023,Palma Sola form
B2006.010,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,17-Oct-04,0,NA,J.L. Hudson,2/24/2023,NA
B2011.037,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,11-Mar-11,0,plant(s),Byron Aarstad,2/24/2023,NA
B2013.192,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: Mexico: San Luis Potosi state,6-Sep-13,16,plant(s),Jurassic Garden,2/24/2023,"""""Rio Verde"""" form"
B2013.193,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: Hidalgo state,6-Sep-13,24,plant(s),Jurassic Garden,2/24/2023,"""""Jacala Hidalgo"""" form"
B2013.208,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: Veracruz state,6-Sep-13,1,plant(s),Jurassic Garden,2/24/2023,"""""Palma Sola"""" form"
B2013.209,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: Queretaro state,6-Sep-13,1,plant(s),Jurassic Garden,2/24/2023,"""Queretaro Blue"" form"
B2013.210,Zamiaceae,Dioon,holmgrenii,NA,Dioon holmgrenii ,Mexico,Middle America,Mexico (Oaxaca state),6-Sep-13,1,plant(s),Jurassic Garden,2/24/2023,NA
B2013.211,Zamiaceae,Dioon,merolae,NA,Dioon merolae ,Mexico,Middle America,Mexico (Chiapas and Oaxaca states),6-Sep-13,1,plant(s),Jurassic Garden,2/24/2023,"""Golden Dioon"" (Oaxaca)"
B2013.212,Zamiaceae,Dioon,merolae,NA,Dioon merolae ,Mexico,Middle America,Mexico (Chiapas and Oaxaca states),6-Sep-13,1,plant(s),Jurassic Garden,2/24/2023,"""""Las Minas"""" (Chiapas)"
B2019.089,Zamiaceae,Dioon,merolae,NA,Dioon merolae ,Mexico,Middle America,Mexico (Chiapas and Oaxaca states),30-Jan-19,0,seedling(s),UCBerkeley,2/24/2023,NA
B2019.089A,Zamiaceae,Dioon,merolae,NA,Dioon merolae ,Mexico,Middle America,Mexico (Chiapas and Oaxaca states),30-Jan-19,0,seedling(s),UCBerkeley,2/24/2023,NA
B2019.090,Zamiaceae,Dioon,sp,'Oaxacaensis',Dioon sp 'Oaxacaensis',NA,NA,NA,30-Jan-19,0,seedling(s),UCBerkeley,2/24/2023,"""El Camaron"""
B2019.090A,Zamiaceae,Dioon,sp,'Oaxacaensis',Dioon sp 'Oaxacaensis',NA,NA,NA,30-Jan-19,0,seedling(s),UCBerkeley,2/24/2023,"""El Camaron"""
B60.194,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental mountain,NA,0,NA,Unspecified,2/24/2023,male
B78.110,Zamiaceae,Dioon,spinulosum,NA,Dioon spinulosum ,Mexico,Middle America,Mexico: Oaxaca and Veracruz states,8-Aug-78,0,NA,New Mexico Cactus Research,2/24/2023,NA
B82.898,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,NA,0,NA,NA,2/24/2023,male
B83.513,Zamiaceae,Dioon,edule,var. angustifolium,Dioon edule var. angustifolium,Mexico,Middle America,Mexico: Nuevo Leon and Tamaulipas states,15-Dec-83,0,NA,Victorian Gardens,2/24/2023,NA
B86.069,Zamiaceae,Dioon,califanoi,NA,Dioon califanoi ,Mexico,Middle America,"Mexico: Oaxaca, Puebla",11-Mar-86,0,NA,Tim Metcalf,2/24/2023,NA
B88.402,Zamiaceae,Dioon,califanoi,NA,Dioon califanoi ,Mexico,Middle America,"Mexico: Oaxaca, Puebla",15-Jul-88,0,NA,Harold G. Hills,2/24/2023,NA
B90.479,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,6-Dec-06,0,NA,cycad Seed Bank/ Thomas Winn,2/24/2023,NA
B90.482,Zamiaceae,Dioon,mejiae,NA,Dioon mejiae ,Multiple Countries,Central America,Honduras and Nicaragua,6-Dec-90,0,seed(s),Glasshouse Works,2/24/2023,NA
B91.385,Zamiaceae,Dioon,spinulosum,NA,Dioon spinulosum ,Mexico,Middle America,Mexico: Oaxaca and Veracruz states,NA,0,NA,Biosanctus (Hans and Barry),2/24/2023,NA
B92.600,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: San Luis Potosi state,15-May-92,0,NA,Howard and Joan Gunn,2/24/2023,"""""Rio Verde"""" Form"
B92.734,Zamiaceae,Dioon,spinulosum,NA,Dioon spinulosum ,Mexico,Middle America,Mexico: Oaxaca and Veracruz states,15-Aug-92,0,NA,NA,2/24/2023,NA
B94.006,Zamiaceae,Dioon,edule,var. angustifolium,Dioon edule var. angustifolium,Mexico,Middle America,Mexico: Nuevo Leon and Tamaulipas states,13-Jan-94,0,NA,Cycad Society Seed Bank,2/24/2023,NA
B94.125,Zamiaceae,Dioon,spinulosum,NA,Dioon spinulosum ,Mexico,Middle America,Mexico: Oaxaca and Veracruz states,12-Apr-94,0,NA,Willie Tang,2/24/2023,NA
B95.296,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,12-Sep-95,0,NA,Hal and Reynatta Hoberecht,2/24/2023,NA
B95.298,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,1-Oct-95,0,NA,"Michael, Cycad Society Seed Bank",2/24/2023,NA
B96.402,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,19-Sep-95,0,NA,Hal and Reynatta Hoberecht,2/24/2023,NA
B97.238,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,NA,0,NA,Anthony Lord,2/24/2023,NA
BAA.049,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,25-Aug-94,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,NA
BAA.412,Zamiaceae,Dioon,sp,NA,Dioon sp ,NA,NA,NA,NA,0,NA,Unknown,2/24/2023,D. spinulosum?
BAB.040,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,NA,0,NA,Unknown,2/24/2023,NA
BAB.041,Zamiaceae,Dioon,sp,NA,Dioon sp ,Mexico,Middle America,Mexico,NA,0,NA,Unknown,2/24/2023,NA
BAB.493,Zamiaceae,Dioon,califanoi,NA,Dioon califanoi ,Mexico,Middle America,"Mexico: Oaxaca, Puebla",NA,0,NA,NA,2/24/2023,NA
BAB.499,Zamiaceae,Dioon,mejiae,NA,Dioon mejiae ,Multiple Countries,Central America,"Honduras, Nicaragua",NA,0,NA,NA,2/24/2023,NA
BAB.581,Zamiaceae,Dioon,edule,NA,Dioon edule ,Mexico,Middle America,Mexico: eastern of Sierra Madre Oriental Mountains,NA,0,NA,joann larkey,2/24/2023,NA
B2001.199,Droseraceae,Dionaea,muscipula,'Red Dragon',Dionaea muscipula 'Red Dragon',United States,North American,North and South Carolina,20-Dec-01,0,NA,Atlanta Botanic Garden,2/24/2023,NA
B2002.066,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,15-Aug-02,0,NA,Matthew Fujita,2/24/2023,NA
B2003.054,Droseraceae,Dionaea,muscipula,'Jaws',Dionaea muscipula 'Jaws',United States,North American,North and South Carolina,20-Feb-03,0,NA,"Robert Ziemer, HSU",2/24/2023,NA
B2003.060,Droseraceae,Dionaea,muscipula,'Sawtooth',Dionaea muscipula 'Sawtooth',United States,North American,North and South Carolina,27-Feb-03,0,NA,Matthew Fujita,2/24/2023,NA
B2003.061,Droseraceae,Dionaea,muscipula,'Dentate Traps',Dionaea muscipula 'Dentate Traps',United States,North American,North and South Carolina,27-Feb-03,0,NA,Barry Rice,2/24/2023,NA
B2004.057,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,southeastern USA,15-Jan-04,0,NA,Mike Wang,2/24/2023,NA
B2005.243,Droseraceae,Dionaea,muscipula,'Red Piranha',Dionaea muscipula 'Red Piranha',United States,North American,North and South Carolina,7-Jun-05,0,NA,Barry Rice,2/24/2023,NA
B2005.312,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,14-Mar-05,0,NA,Mike Wang,2/24/2023,NA
B2006.218,Droseraceae,Dionaea,muscipula,'Fused Tooth',Dionaea muscipula 'Fused Tooth',United States,North American,North and South Carolina,15-Aug-06,0,NA,Barry Rice,2/24/2023,NA
B2006.285,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,7-Jul-06,0,NA,Tom Cahill,2/24/2023,NA
B2006.286,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,12-Jan-07,0,NA,ICPS,2/24/2023,NA
B2007.002,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,22-Jan-07,0,NA,Nurseryman's Exchange,2/24/2023,NA
B2007.003,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,22-Jan-07,0,NA,Nurseryman's exchange,2/24/2023,NA
B2007.006,Droseraceae,Dionaea,muscipula,'Justina Davis',Dionaea muscipula 'Justina Davis',United States,North American,North and South Carolina,7-Feb-07,0,NA,Barry Rice,2/24/2023,NA
B2007.030,Droseraceae,Dionaea,muscipula,'B52',Dionaea muscipula 'B52',United States,North American,North and South Carolina,13-Mar-07,0,NA,Barry Rice,2/24/2023,NA
B2013.292,Droseraceae,Dionaea,muscipula,'Ginormous',Dionaea muscipula 'Ginormous',United States,North American,North and South Carolina,15-Nov-13,NA,plant(s),California Carnivores,2/24/2023,NA
B2013.293,Droseraceae,Dionaea,muscipula,'Coquillage',Dionaea muscipula 'Coquillage',United States,North American,North and South Carolina,15-Nov-13,0,plant(s),California Carnivores,2/24/2023,NA
B2014.045,Droseraceae,Dionaea,muscipula,'Bristle Tooth',Dionaea muscipula 'Bristle Tooth',United States,North American,North and South Carolina,30-Apr-14,0,plant(s),NA,2/24/2023,NA
B2017.081,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,6-Feb-17,9,plant(s),James Fong,2/24/2023,clone1
B2017.082,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,6-Feb-17,13,plant(s),James Fong,2/24/2023,clone2
B2018.233,Droseraceae,Dionaea,muscipula,'Ginormous',Dionaea muscipula 'Ginormous',United States,North American,North and South Carolina,4-Oct-18,0,plant(s),John Brittnacher,2/24/2023,NA
B2019.199,Droseraceae,Dionaea,muscipula,'Red Dragon',Dionaea muscipula 'Red Dragon',United States,North American,North and South Carolina,8-May-19,0,NA,John Brittnacher,2/24/2023,NA
B2019.200,Droseraceae,Dionaea,muscipula,'B52',Dionaea muscipula 'B52',United States,North American,North and South Carolina,8-May-19,0,NA,John Brittnacher,2/24/2023,NA
B98.346,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,NA,0,NA,Peter D'Amato,2/24/2023,NA
B98.351,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,NA,0,NA,Peter D'Amato,2/24/2023,NA
B99.220,Droseraceae,Dionaea,muscipula,'Dente',Dionaea muscipula 'Dente',United States,North American,North and South Carolina,10-Oct-99,0,NA,Peter D'Amato,2/24/2023,NA
BAA.131,Droseraceae,Dionaea,muscipula,NA,Dionaea muscipula ,United States,North American,North and South Carolina,NA,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,NA
BAB.338,Droseraceae,Dionaea,muscipula,'Red Dragon',Dionaea muscipula 'Red Dragon',United States,North American,North and South Carolina,NA,0,NA,Mattew Fujita,2/24/2023,NA
B2019.440,Aizoaceae,Dinteranthus,vanzylii,NA,Dinteranthus vanzylii ,South Africa,South African,South Africa (Cape Province),13-Nov-19,3,NA,This Doesn't Succulent,2/24/2023,NA
B2021.033,Aizoaceae,Dinteranthus,wilmotianus,subsp. impunctatus,Dinteranthus wilmotianus subsp. impunctatus,Namibia,African,Namibia,30-Apr-21,0,plant(s),PB&J Cacti and Succulents,2/24/2023,NA
B2021.034,Aizoaceae,Dinteranthus,wilmotianus,NA,Dinteranthus wilmotianus ,South Africa,South African,South Africa (Cape Province),30-Apr-21,2,plant(s),California Succulents,2/24/2023,NA
B2021.239,Aizoaceae,Dinteranthus,pole-evansii,NA,Dinteranthus pole-evansii ,South Africa,South African,South Africa (Northern Cape),19-Jul-21,0,seed(s),Silverhill Seeds,2/24/2023,NA
B2021.240,Aizoaceae,Dinteranthus,wilmotianus,NA,Dinteranthus wilmotianus ,South Africa,South African,South Africa (Northern Cape Province),19-Jul-21,0,seed(s),Silverhill Seeds,2/24/2023,NA
B82.046,Aizoaceae,Dinteranthus,inexpectatus,NA,Dinteranthus inexpectatus ,NA,NA,NA,9-Feb-82,0,NA,Sam/Dorothy Williams,2/24/2023,NA
B82.783,Aizoaceae,Dinteranthus,inexpectatus,NA,Dinteranthus inexpectatus ,Multiple Countries,South African,Namibia and South Africa,16-Jul-82,0,NA,Sam/Dorothy Williams,2/24/2023,NA
B90.422,Aizoaceae,Dinteranthus,vanzylii,NA,Dinteranthus vanzylii ,South Africa,South African,South Africa (Cape Province),15-Aug-90,0,plant(s),Sam/Dorothy Williams,2/24/2023,NA
B90.423,Aizoaceae,Dinteranthus,wilmotianus,NA,Dinteranthus wilmotianus ,South Africa,South African,South Africa (Cape Province),15-Aug-90,0,NA,Sam/Dorothy Williams,2/24/2023,NA
B91.288,Aizoaceae,Dinteranthus,vanzylii,NA,Dinteranthus vanzylii ,South Africa,South African,South Africa (Cape Province),NA,0,NA,NA,2/24/2023,NA
B92.855,Aizoaceae,Dinteranthus,pole-evansii,NA,Dinteranthus pole-evansii ,South Africa,South African,South Africa (western Cape),NA,0,seed(s),Mesa Garden,2/24/2023,NA
B93.418,Aizoaceae,Dinteranthus,microspermus,subsp. puberulus,Dinteranthus microspermus subsp. puberulus,Multiple Countries,South African,South Africa and Namibia,7-Oct-93,0,NA,Mesa Garden,2/24/2023,NA
B93.419,Aizoaceae,Dinteranthus,microspermus,NA,Dinteranthus microspermus ,Multiple Countries,South African,South Africa and Namibia,7-Oct-93,0,NA,Mesa Garden,2/24/2023,NA
B99.021,Aizoaceae,Dinteranthus,pole-evansii,NA,Dinteranthus pole-evansii ,South Africa,South African,South Africa (western Cape Province),15-Oct-98,0,NA,Mesa Garden,2/24/2023,NA
B97.323,Zingiberaceae,Dimerocostus,strobilaceus,NA,Dimerocostus strobilaceus ,Multiple Countries,Central America,Central America,3-Nov-97,0,NA,Alan Carle,2/24/2023,NA
B91.095,Plantaginaceae,Digitalis,lutea,NA,Digitalis lutea ,Multiple Countries,Multiple Regions,"Europe, northwestern Africa",NA,0,NA,NA,2/24/2023,NA
B86.373,Iridaceae,Dierama,pulcherrimum,NA,Dierama pulcherrimum ,South Africa,South African,South African,27-Oct-86,0,NA,Western Hills Nursery,2/24/2023,NA
B92.893,Iridaceae,Dierama,pulcherrimum,NA,Dierama pulcherrimum ,South Africa,South African,South Africa,14-Nov-92,0,NA,Chuck Powell,2/24/2023,NA
B59.052,Araceae,Dieffenbachia,seguine,NA,Dieffenbachia seguine ,Multiple Countries,American,tropical America,NA,0,NA,NA,2/24/2023,#NAME?
B66.288,Araceae,Dieffenbachia,x,bausei,Dieffenbachia x bausei,NA,NA,horticultural (hybrid) origin,NA,0,NA,NA,2/24/2023,#NAME?
BAA.285,Araceae,Dieffenbachia,maculata,NA,Dieffenbachia maculata ,Multiple Countries,American,"Central America, northern South America",NA,0,NA,NA,2/24/2023,NA
B2008.050,Dryopteridaceae,Didymochlaena,truncatulata,NA,Didymochlaena truncatulata ,Multiple Countries,Multiple Regions,"tropical Africa and America, Polynesia",11-Feb-08,0,plant(s),Home Depot,2/24/2023,NA
B92.441,Aizoaceae,Didymaotus,lapidiformis,NA,Didymaotus lapidiformis ,South Africa,South African,South Africa (western Cape Province),8-Feb-92,0,NA,Mesa Garden,2/24/2023,NA
B94.097,Aizoaceae,Didymaotus,lapidiformis,NA,Didymaotus lapidiformis ,South Africa,South African,South Africa (western Cape Province),1-Apr-94,0,NA,Mesa Garden,2/24/2023,NA
B2003.167,Didiereaceae,Didierea,madagascariensis,NA,Didierea madagascariensis ,Madagascar,Madagascaran,southwestern Madagascar,5-Feb-03,0,NA,Carl Frederick,2/24/2023,NA
B62.036,Didiereaceae,Didierea,madagascariensis,NA,Didierea madagascariensis ,Madagascar,Madagascaran,southwestern Madagascar,NA,0,NA,NA,2/24/2023,NA
B67.573,Didiereaceae,Didierea,trollii,NA,Didierea trollii ,Madagascar,Madagascaran,southern Madagascar,NA,0,NA,Unspecified,2/24/2023,NA
B96.302,Didiereaceae,Didierea,madagascariensis,NA,Didierea madagascariensis ,Madagascar,Madagascaran,southwestern Madagascar,3-Sep-96,0,NA,Huntington Botanical Gardens,2/24/2023,NA
B97.349,Arecaceae,Dictyosperma,album,NA,Dictyosperma album ,Multiple Countries,Indian Ocean,Mascarene Isls.,12-Nov-97,0,NA,"Tom Lemieux, U of CO, Boulder",2/24/2023,NA
B97.381,Dicranaceae,Dicranum,sp,NA,Dicranum sp ,Unknown,Unknown,unknown,12-Nov-97,0,NA,"Tom Lemieux, U of CO, Boulder",2/24/2023,NA
B97.382,Dicranaceae,Dicranum,sp,NA,Dicranum sp ,Unknown,Unknown,unknown,12-Nov-97,0,NA,"Tom Lemieux, U of CO, Boulder",2/24/2023,NA
B85.299,Acanthaceae,Dicliptera,suberecta,'Queens Crown',Dicliptera suberecta 'Queens Crown',Uruguay,South American,Uruguay,2-Oct-85,0,NA,Glasshouse Works,2/24/2023,NA
B2012.068,Dicksoniaceae,Dicksonia,antarctica,NA,Dicksonia antarctica ,Multiple Countries,Australian,"Australia, Tasmania",15-Jun-12,0,plant(s),Humbold State University,2/24/2023,NA
B2020.018,Commelinaceae,Dichorisandra,penduliflora,NA,Dichorisandra penduliflora ,Brazil,South American,Brazil,30-Jan-20,0,plant(s),Maxon Fackert,2/24/2023,NA
B81.521,Commelinaceae,Dichorisandra,thyrsiflora,NA,Dichorisandra thyrsiflora ,Brazil,South American,southeastern Brazil,12-Oct-82,0,NA,Dylan P. Hannon,2/24/2023,NA
B2009.136,Convolvulaceae,Dichondra,argentea,'Silver Falls',Dichondra argentea 'Silver Falls',Multiple Countries,North American,western Texas to southeastern Arizona and Mexico,25-Jun-09,1,plant(s),"Tim Devine, CSUC (Chico)",2/24/2023,NA
B2001.354,Liliaceae,Dichelostemma,capitatum,subsp. capitatum,Dichelostemma capitatum subsp. capitatum,Multiple Countries,American,western US to northern Mexico,NA,0,NA,Joyce Miller,2/24/2023,NA
B2001.361,Liliaceae,Dichelostemma,NA,NA,Dichelostemma  ,NA,NA,NA,25-Oct-12,0,NA,NA,2/24/2023,NA
B2010.219,Liliaceae,Dichelostemma,volubile,NA,Dichelostemma volubile ,United States,North American,California,30-Nov-10,4,bulb(s),Telos Rare Bulbs,2/24/2023,NA
B2012.043,Liliaceae,Dichelostemma,capitatum,NA,Dichelostemma capitatum ,Multiple Countries,North American,western US to northern Mexico,15-Sep-12,0,seed(s),Telos Rare Bulbs,2/24/2023,Giant Form
B2017.210,Liliaceae,Dichelostemma,volubile,NA,Dichelostemma volubile ,United States,North American,California,8-Aug-17,3,bulbs,Telos Rare Bulbs,2/24/2023,NA
